gender,visited_reef,NRM code,Threat,Threat_Score
Other/Non-binary,Yes,Burnett Mary,threat_bleaching,4.0
Other/Non-binary,Yes,Burnett Mary,threat_heatwaves,3.0
Other/Non-binary,Yes,Fitzroy,Agricultural Runoff,5.0
Other/Non-binary,Yes,Fitzroy,Climate Change,5.0
Other/Non-binary,Yes,Fitzroy,Coastal Development,5.0
Other/Non-binary,Yes,Fitzroy,Crown of Thorns,5.0
Other/Non-binary,Yes,Fitzroy,Extreme Weather,5.0
Other/Non-binary,Yes,Fitzroy,Fishing,5.0
Other/Non-binary,Yes,Fitzroy,Management/Regulation,5.0
Other/Non-binary,Yes,Fitzroy,Marine Debris/Rubbish,5.0
Other/Non-binary,Yes,Fitzroy,Mining,5.0
Other/Non-binary,Yes,Fitzroy,Population Growth,5.0
Other/Non-binary,Yes,Fitzroy,Ports and Shipping,5.0
Other/Non-binary,Yes,Fitzroy,Tourism,5.0
Other/Non-binary,Yes,Fitzroy,threat_bleaching,5.0
Other/Non-binary,Yes,Fitzroy,threat_heatwaves,5.0
Other/Non-binary,Yes,Wet Tropics,Agricultural Runoff,4.0
Other/Non-binary,Yes,Wet Tropics,Climate Change,5.0
Other/Non-binary,Yes,Wet Tropics,Coastal Development,5.0
Other/Non-binary,Yes,Wet Tropics,Crown of Thorns,4.5
Other/Non-binary,Yes,Wet Tropics,Extreme Weather,4.0
Other/Non-binary,Yes,Wet Tropics,Fishing,5.0
Other/Non-binary,Yes,Wet Tropics,Management/Regulation,3.5
Other/Non-binary,Yes,Wet Tropics,Marine Debris/Rubbish,4.5
Other/Non-binary,Yes,Wet Tropics,Mining,3.5
Other/Non-binary,Yes,Wet Tropics,Population Growth,3.0
Other/Non-binary,Yes,Wet Tropics,Ports and Shipping,4.0
Other/Non-binary,Yes,Wet Tropics,Tourism,4.5
Other/Non-binary,Yes,Wet Tropics,threat_bleaching,4.5
Other/Non-binary,Yes,Wet Tropics,threat_heatwaves,4.5
Prefer not to say,Yes,Burdekin,Agricultural Runoff,4.0
Prefer not to say,Yes,Burdekin,Climate Change,5.0
Prefer not to say,Yes,Burdekin,Coastal Development,5.0
Prefer not to say,Yes,Burdekin,Crown of Thorns,4.0
Prefer not to say,Yes,Burdekin,Extreme Weather,5.0
Prefer not to say,Yes,Burdekin,Fishing,5.0
Prefer not to say,Yes,Burdekin,Management/Regulation,2.0
Prefer not to say,Yes,Burdekin,Marine Debris/Rubbish,4.0
Prefer not to say,Yes,Burdekin,Mining,5.0
Prefer not to say,Yes,Burdekin,Population Growth,5.0
Prefer not to say,Yes,Burdekin,Ports and Shipping,5.0
Prefer not to say,Yes,Burdekin,Tourism,2.0
Prefer not to say,Yes,Burdekin,threat_bleaching,5.0
Prefer not to say,Yes,Burdekin,threat_heatwaves,5.0
Prefer not to say,Yes,Fitzroy,Agricultural Runoff,5.0
Prefer not to say,Yes,Fitzroy,Climate Change,5.0
Prefer not to say,Yes,Fitzroy,Coastal Development,5.0
Prefer not to say,Yes,Fitzroy,Crown of Thorns,5.0
Prefer not to say,Yes,Fitzroy,Extreme Weather,5.0
Prefer not to say,Yes,Fitzroy,Fishing,5.0
Prefer not to say,Yes,Fitzroy,Management/Regulation,3.0
Prefer not to say,Yes,Fitzroy,Marine Debris/Rubbish,5.0
Prefer not to say,Yes,Fitzroy,Mining,4.0
Prefer not to say,Yes,Fitzroy,Population Growth,5.0
Prefer not to say,Yes,Fitzroy,Ports and Shipping,5.0
Prefer not to say,Yes,Fitzroy,Tourism,4.0
Prefer not to say,Yes,Fitzroy,threat_bleaching,5.0
Prefer not to say,Yes,Fitzroy,threat_heatwaves,5.0
Prefer not to say,Yes,Mackay Whitsunday,Agricultural Runoff,3.0
Prefer not to say,Yes,Mackay Whitsunday,Climate Change,2.6
Prefer not to say,Yes,Mackay Whitsunday,Coastal Development,4.0
Prefer not to say,Yes,Mackay Whitsunday,Crown of Thorns,2.8
Prefer not to say,Yes,Mackay Whitsunday,Extreme Weather,3.2
Prefer not to say,Yes,Mackay Whitsunday,Fishing,3.6
Prefer not to say,Yes,Mackay Whitsunday,Management/Regulation,4.6
Prefer not to say,Yes,Mackay Whitsunday,Marine Debris/Rubbish,3.8
Prefer not to say,Yes,Mackay Whitsunday,Mining,2.2
Prefer not to say,Yes,Mackay Whitsunday,Population Growth,3.6
Prefer not to say,Yes,Mackay Whitsunday,Ports and Shipping,3.0
Prefer not to say,Yes,Mackay Whitsunday,Tourism,2.8
Prefer not to say,Yes,Mackay Whitsunday,threat_bleaching,2.8
Prefer not to say,Yes,Mackay Whitsunday,threat_heatwaves,2.6
Prefer not to say,Yes,Wet Tropics,Agricultural Runoff,2.5
Prefer not to say,Yes,Wet Tropics,Climate Change,2.25
Prefer not to say,Yes,Wet Tropics,Coastal Development,2.5
Prefer not to say,Yes,Wet Tropics,Crown of Thorns,3.5
Prefer not to say,Yes,Wet Tropics,Extreme Weather,2.5
Prefer not to say,Yes,Wet Tropics,Fishing,2.25
Prefer not to say,Yes,Wet Tropics,Management/Regulation,3.5
Prefer not to say,Yes,Wet Tropics,Marine Debris/Rubbish,2.25
Prefer not to say,Yes,Wet Tropics,Mining,2.5
Prefer not to say,Yes,Wet Tropics,Population Growth,2.0
Prefer not to say,Yes,Wet Tropics,Ports and Shipping,2.0
Prefer not to say,Yes,Wet Tropics,Tourism,2.0
Prefer not to say,Yes,Wet Tropics,threat_bleaching,2.75
Prefer not to say,Yes,Wet Tropics,threat_heatwaves,3.75
